Time,Amount
1880,-0.29
1880.08,-0.18
1880.17,-0.11
1880.25,-0.2
1880.33,-0.12
1880.42,-0.23
1880.5,-0.21
1880.58,-0.09
1880.67,-0.16
1880.75,-0.23
1880.83,-0.2
1880.92,-0.23
1881,-0.16
1881.08,-0.17
1881.17,0.04
1881.25,0.04
1881.33,0.02
1881.42,-0.2
1881.5,-0.07
1881.58,-0.03
1881.67,-0.14
1881.75,-0.21
1881.83,-0.22
1881.92,-0.11
1882,0.14
1882.08,0.15
1882.17,0.03
1882.25,-0.19
1882.33,-0.16
1882.42,-0.26
1882.5,-0.21
1882.58,-0.06
1882.67,-0.1
1882.75,-0.25
1882.83,-0.16
1882.92,-0.25
1883,-0.32
1883.08,-0.39
1883.17,-0.13
1883.25,-0.17
1883.33,-0.2
1883.42,-0.13
1883.5,-0.08
1883.58,-0.15
1883.67,-0.21
1883.75,-0.14
1883.83,-0.22
1883.92,-0.16
1884,-0.16
1884.08,-0.08
1884.17,-0.37
1884.25,-0.43
1884.33,-0.37
1884.42,-0.41
1884.5,-0.35
1884.58,-0.26
1884.67,-0.27
1884.75,-0.24
1884.83,-0.3
1884.92,-0.29
1885,-0.59
1885.08,-0.3
1885.17,-0.25
1885.25,-0.42
1885.33,-0.42
1885.42,-0.44
1885.5,-0.36
1885.58,-0.32
1885.67,-0.24
1885.75,-0.19
1885.83,-0.2
1885.92,-0.05
1886,-0.42
1886.08,-0.45
1886.17,-0.39
1886.25,-0.28
1886.33,-0.26
1886.42,-0.39
1886.5,-0.22
1886.58,-0.34
1886.67,-0.26
1886.75,-0.29
1886.83,-0.31
1886.92,-0.27
1887,-0.73
1887.08,-0.52
1887.17,-0.34
1887.25,-0.39
1887.33,-0.32
1887.42,-0.24
1887.5,-0.23
1887.58,-0.32
1887.67,-0.23
1887.75,-0.33
1887.83,-0.23
1887.92,-0.34
1888,-0.38
1888.08,-0.36
1888.17,-0.41
1888.25,-0.22
1888.33,-0.22
1888.42,-0.18
1888.5,-0.09
1888.58,-0.16
1888.67,-0.1
1888.75,0.02
1888.83,0.01
1888.92,-0.06
1889,-0.11
1889.08,0.19
1889.17,0.08
1889.25,0.07
1889.33,-0.02
1889.42,-0.14
1889.5,-0.1
1889.58,-0.2
1889.67,-0.22
1889.75,-0.22
1889.83,-0.33
1889.92,-0.3
1890,-0.44
1890.08,-0.45
1890.17,-0.4
1890.25,-0.37
1890.33,-0.45
1890.42,-0.27
1890.5,-0.27
1890.58,-0.38
1890.67,-0.39
1890.75,-0.24
1890.83,-0.48
1890.92,-0.31
1891,-0.42
1891.08,-0.47
1891.17,-0.19
1891.25,-0.28
1891.33,-0.18
1891.42,-0.2
1891.5,-0.2
1891.58,-0.16
1891.67,-0.14
1891.75,-0.21
1891.83,-0.35
1891.92,-0.04
1892,-0.28
1892.08,-0.12
1892.17,-0.35
1892.25,-0.35
1892.33,-0.25
1892.42,-0.23
1892.5,-0.32
1892.58,-0.25
1892.67,-0.13
1892.75,-0.13
1892.83,-0.42
1892.92,-0.39
1893,-0.8
1893.08,-0.54
1893.17,-0.23
1893.25,-0.3
1893.33,-0.36
1893.42,-0.29
1893.5,-0.16
1893.58,-0.27
1893.67,-0.2
1893.75,-0.17
1893.83,-0.17
1893.92,-0.35
1894,-0.54
1894.08,-0.33
1894.17,-0.25
1894.25,-0.48
1894.33,-0.35
1894.42,-0.44
1894.5,-0.26
1894.58,-0.22
1894.67,-0.25
1894.75,-0.21
1894.83,-0.25
1894.92,-0.2
1895,-0.44
1895.08,-0.42
1895.17,-0.29
1895.25,-0.25
1895.33,-0.27
1895.42,-0.24
1895.5,-0.18
1895.58,-0.16
1895.67,-0.09
1895.75,-0.08
1895.83,-0.15
1895.92,-0.16
1896,-0.26
1896.08,-0.14
1896.17,-0.26
1896.25,-0.31
1896.33,-0.18
1896.42,-0.14
1896.5,-0.04
1896.58,-0.04
1896.67,-0.03
1896.75,0.11
1896.83,-0.08
1896.92,-0.04
1897,-0.15
1897.08,-0.15
1897.17,-0.14
1897.25,-0.02
1897.33,-0.05
1897.42,-0.16
1897.5,-0.07
1897.58,-0.11
1897.67,-0.08
1897.75,-0.12
