Time,Amount
1978.83,11.65
1978.92,13.67
1979,15.41
1979.08,16.18
1979.17,16.34
1979.25,15.45
1979.33,13.86
1979.42,12.53
1979.5,10.31
1979.58,8.04
1979.67,7.05
1979.75,8.75
1979.83,10.94
1979.92,13.34
1980,14.86
1980.08,15.96
1980.17,16.04
1980.25,15.43
1980.33,13.79
1980.42,12.2
1980.5,10.1
1980.58,7.98
1980.67,7.67
1980.75,9.18
1980.83,11.38
1980.92,13.59
1981,14.91
1981.08,15.6
1981.17,15.63
1981.25,15.01
1981.33,13.8
1981.42,12.43
1981.5,10.27
1981.58,7.84
1981.67,7.14
1981.75,8.86
1981.83,10.93
1981.92,13.34
1982,15.18
1982.08,15.97
1982.17,16.04
1982.25,15.47
1982.33,13.97
1982.42,12.48
1982.5,10.37
1982.58,8.14
1982.67,7.3
1982.75,9.42
1982.83,11.63
1982.92,13.64
1983,14.94
1983.08,16.01
1983.17,16.09
1983.25,15.17
1983.33,13.49
1983.42,12.3
1983.5,10.57
1983.58,8.19
1983.67,7.39
1983.75,9.33
1983.83,11.46
1983.92,13.3
1984,14.47
1984.08,15.3
1984.17,15.58
1984.25,15.01
1984.33,13.58
1984.42,12.15
1984.5,9.98
1984.58,7.77
1984.67,6.81
1984.75,8.56
1984.83,10.84
1984.92,12.99
1985,14.72
1985.08,15.47
1985.17,15.89
1985.25,15.36
1985.33,14.07
1985.42,12.22
1985.5,9.74
1985.58,7.4
1985.67,6.7
1985.75,8.55
1985.83,11.02
1985.92,13.05
1986,14.89
1986.08,15.78
1986.17,15.91
1986.25,15.06
1986.33,13.38
1986.42,11.98
1986.5,10.15
1986.58,7.98
1986.67,7.41
1986.75,9.48
1986.83,11.45
1986.92,13.22
1987,14.97
1987.08,16.05
1987.17,15.82
1987.25,15.21
1987.33,13.74
1987.42,12.49
1987.5,10.33
1987.58,7.63
1987.67,7.28
1987.75,9.05
1987.83,11.22
1987.92,12.6733
1988,14.1267
1988.08,15.58
1988.17,15.96
1988.25,15.12
1988.33,13.56
1988.42,11.94
1988.5,9.81
1988.58,7.89
1988.67,7.37
1988.75,9.13
1988.83,11.33
1988.92,13.63
1989,14.95
1989.08,15.5
1989.17,15.42
1989.25,14.33
1989.33,13.04
1989.42,12.24
1989.5,10.13
1989.58,7.88
1989.67,7.01
1989.75,8.83
1989.83,11.12
1989.92,13.39
1990,14.78
1990.08,15.58
1990.17,15.87
1990.25,14.65
1990.33,13.23
1990.42,11.64
1990.5,9.25
1990.58,6.8
1990.67,6.14
1990.75,8.48
1990.83,11.08
1990.92,13.11
1991,14.36
1991.08,15.25
1991.17,15.42
1991.25,14.86
1991.33,13.47
1991.42,12.11
1991.5,9.51
1991.58,7.42
1991.67,6.47
1991.75,8.54
1991.83,10.88
1991.92,12.95
1992,14.64
1992.08,15.46
1992.17,15.48
1992.25,14.68
1992.33,13.22
1992.42,12.15
1992.5,10.32
1992.58,7.93
1992.67,7.47
1992.75,9.32
1992.83,11.38
1992.92,13.41
1993,14.9
1993.08,15.69
1993.17,15.81
1993.25,15.08
1993.33,13.37
1993.42,11.87
1993.5,9.48
1993.58,7.33
1993.67,6.4
1993.75,8.79
1993.83,11.32
1993.92,13.32
1994,14.73
1994.08,15.56
1994.17,15.55
1994.25,14.89
1994.33,13.62
1994.42,12.02
1994.5,9.93
1994.58,7.64
1994.67,7.14
1994.75,8.92
1994.83,11.12
1994.92,13.27
1995,14.59
1995.08,15.23
1995.17,15.26
1995.25,14.45
1995.33,12.97
1995.42,11.44
1995.5,8.99
1995.58,6.74
1995.67,6.08
1995.75,7.83
1995.83,10.76
1995.92,12.92
1996,14.18
1996.08,15.15
1996.17,15.12
1996.25,14.22
1996.33,13.09
1996.42,12.08
1996.5,10.16
1996.58,8.18
1996.67,7.58
1996.75,9.16
1996.83,10.4
1996.92,12.86
1997,14.42
1997.08,15.44
1997.17,15.47
1997.25,14.56
1997.33,13.18
1997.42,11.74
1997.5,9.41
1997.58,7.29
1997.67,6.69
1997.75,8.34
1997.83,10.68
1997.92,13.08
1998,14.72
1998.08,15.75
1998.17,15.6
1998.25,14.89
1998.33,13.59
1998.42,11.71
1998.5,9.42
1998.58,7.51
1998.67,6.54
1998.75,8.45
1998.83,10.44
1998.92,12.76
1999,14.36
1999.08,15.31
1999.17,15.4
1999.25,15.08
1999.33,13.75
1999.42,11.78
1999.5,9.49
1999.58,7.23
1999.67,6.12
1999.75,8.6
1999.83,10.8
1999.92,12.64
2000,14.22
2000.08,15.14
2000.17,15.22
2000.25,14.56
2000.33,13.15
2000.42,11.67
2000.5,9.51
2000.58,7.17
2000.67,6.25
2000.75,8.38
2000.83,10.32
2000.92,12.64
2001,14.2
2001.08,15.21
2001.17,15.52
2001.25,14.86
2001.33,13.51
2001.42,11.46
2001.5,9.07
2001.58,7.46
2001.67,6.73
2001.75,8.3
2001.83,10.66
2001.92,12.49
2002,14.27
2002.08,15.34
2002.17,15.35
2002.25,14.3
2002.33,12.97
2002.42,11.58
2002.5,9.27
2002.58,6.6
2002.67,5.83
2002.75,8.16
2002.83,10.34
2002.92,12.61
2003,14.39
2003.08,15.19
2003.17,15.48
2003.25,14.51
2003.33,13.02
2003.42,11.6
2003.5,9.21
2003.58,6.94
2003.67,6.12
2003.75,7.85
2003.83,10.13
2003.92,12.59
2004,14.03
2004.08,14.91
2004.17,14.99
2004.25,13.99
2004.33,12.56
2004.42,11.45
2004.5,9.43
2004.58,6.85
2004.67,5.98
2004.75,7.93
2004.83,10.34
2004.92,12.55
2005,13.66
2005.08,14.37
2005.17,14.69
2005.25,14.09
2005.33,12.91
2005.42,11.16
2005.5,8.65
2005.58,6.3
2005.67,5.5
2005.75,7.35
2005.83,10.22
2005.92,12.23
2006,13.47
2006.08,14.32
2006.17,14.42
2006.25,13.91
2006.33,12.52
2006.42,10.92
2006.5,8.46
2006.58,6.5
2006.67,5.86
2006.75,7.54
2006.83,9.66
2006.92,11.95
2007,13.7
2007.08,14.51
2007.17,14.54
2007.25,13.85
2007.33,12.78
2007.42,11.22
2007.5,7.94
2007.58,5.34
2007.67,4.27
2007.75,6.04
2007.83,9.76
2007.92,12.03
2008,13.89
2008.08,14.95
2008.17,15.18
2008.25,14.35
2008.33,12.97
2008.42,11.21
2008.5,8.68
2008.58,5.91
2008.67,4.69
2008.75,7.35
2008.83,10.34
2008.92,12.36
2009,13.91
2009.08,14.81
2009.17,14.98
2009.25,14.5
2009.33,13.19
2009.42,11.32
2009.5,8.47
2009.58,6.14
2009.67,5.26
2009.75,6.92
2009.83,9.77
2009.92,12.2
2010,13.74
2010.08,14.58
2010.17,15.14
2010.25,14.66
2010.33,12.87
2010.42,10.59
2010.5,8.07
2010.58,5.87
2010.67,4.87
2010.75,6.98
2010.83,9.61
2010.92,11.83
2011,13.46
2011.08,14.36
2011.17,14.55
2011.25,14.11
2011.33,12.68
2011.42,10.75
2011.5,7.72
2011.58,5.5
2011.67,4.56
2011.75,6.46
2011.83,9.77
2011.92,12.15
2012,13.73
2012.08,14.55
2012.17,15.2
2012.25,14.63
2012.33,13.01
2012.42,10.67
2012.5,7.67
2012.58,4.72
2012.67,3.57
2012.75,5.89
2012.83,9.39
2012.92,12.01
2013,13.7
2013.08,14.72
2013.17,15.03
2013.25,14.3
2013.33,13
2013.42,11.36
2013.5,8.13
2013.58,6.01
2013.67,5.21
2013.75,7.45
2013.83,9.94
2013.92,12.18
2014,13.65
2014.08,14.42
2014.17,14.76
2014.25,14.09
2014.33,12.7
2014.42,11.03
2014.5,8.11
2014.58,6.08
2014.67,5.22
2014.75,7.23
2014.83,10.11
2014.92,12.35
2015,13.6
2015.08,14.4
2015.17,14.37
2015.25,13.89
2015.33,12.47
2015.42,10.88
2015.5,8.38
2015.58,5.6
2015.67,4.62
2015.75,6.97
2015.83,9.85
2015.92,12.04
2016,13.46
2016.08,14.2
2016.17,14.4
2016.25,13.68
2016.33,11.92
2016.42,10.41
2016.5,7.94
2016.58,5.37
2016.67,4.53
2016.75,6.08
2016.83,8.66
2016.92,11.46
2017,13.19
2017.08,14.12
2017.17,14.29
2017.25,13.75
2017.33,12.63
2017.42,10.76
2017.5,7.94
2017.58,5.48
2017.67,4.82
2017.75,6.77
2017.83,9.49
2017.92,11.74
2018,13.08
2018.08,13.97
2018.17,14.3
2018.25,13.7
2018.33,12.23
2018.42,10.78
2018.5,8.27
2018.58,5.61
2018.67,4.79
2018.75,6.13
2018.83,9.82
2018.92,11.86
2019,13.57
2019.08,14.39
2019.17,14.57
2019.25,13.43
2019.33,12.19
2019.42,10.59
2019.5,7.59
2019.58,5.03
2019.67,4.36
2019.75,5.73
2019.83,9.35
2019.92,11.9
2020,13.65
2020.08,14.68
2020.17,14.78
2020.25,13.73
2020.33,12.36
2020.42,10.58
2020.5,7.28
2020.58,5.08
